epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.45849,1.08239,3.57159,1.0841,0.00876,0.45652,0.1868,0.15681,0.80779,3.34501,0.87602,7.5e-05,7.5e-05,7.5e-05
2,5.46433,1.00851,3.41129,1.01584,0.00951,0.45652,0.21042,0.17622,0.83495,3.32905,0.88491,0.000154456,0.000154456,0.000154456
3,7.04355,1.0307,3.24637,0.98354,0.01181,0.44565,0.26256,0.21144,1.01035,3.24217,0.90648,0.00022525,0.00022525,0.00022525
4,8.69286,1.12969,2.79909,0.98566,0.01173,0.44565,0.23901,0.19945,0.94466,3.15752,0.89412,0.000287381,0.000287381,0.000287381
5,10.2414,1.18295,2.48436,1.05617,0.01434,0.48732,0.23413,0.19891,0.88536,3.00437,0.88582,0.00034085,0.00034085,0.00034085
6,11.7678,0.97424,2.29244,0.96796,0.98189,0.13933,0.23671,0.20015,0.8824,2.76593,0.87096,0.000385656,0.000385656,0.000385656
7,13.3321,1.17544,2.28554,1.04714,0.98189,0.13933,0.23671,0.20015,0.8824,2.76593,0.87096,0.0004218,0.0004218,0.0004218
8,14.9317,1.09481,2.00735,1.03874,0.72576,0.17391,0.27445,0.23078,0.88462,2.44203,0.87862,0.000449281,0.000449281,0.000449281
9,16.8119,1.12403,1.84606,1.03098,0.76874,0.30978,0.47364,0.36358,0.91631,1.99391,0.89353,0.0004681,0.0004681,0.0004681
10,18.6388,1.16289,1.7368,1.0537,0.76874,0.30978,0.47364,0.36358,0.91631,1.99391,0.89353,0.000478256,0.000478256,0.000478256
11,20.42,1.13626,2.21257,1.02781,0.75029,0.47029,0.50957,0.39296,0.93535,1.63046,0.90882,0.00047975,0.00047975,0.00047975
12,22.4556,1.01718,2.03603,0.96114,0.75029,0.47029,0.50957,0.39296,0.93535,1.63046,0.90882,0.000472581,0.000472581,0.000472581
13,24.2148,0.95469,1.72817,0.99485,0.81222,0.46181,0.60857,0.47189,0.92451,1.48032,0.91034,0.00045675,0.00045675,0.00045675
14,25.9262,0.97964,1.66395,0.96904,0.81222,0.46181,0.60857,0.47189,0.92451,1.48032,0.91034,0.000432256,0.000432256,0.000432256
15,27.7309,1.00727,1.74523,0.99019,0.74337,0.55476,0.62946,0.46682,0.87911,1.38153,0.92003,0.00038375,0.00038375,0.00038375
16,29.6857,0.92014,1.62776,0.93828,0.74337,0.55476,0.62946,0.46682,0.87911,1.38153,0.92003,0.000321875,0.000321875,0.000321875
17,31.4235,0.95577,1.59877,0.99413,0.74843,0.5702,0.61094,0.46883,0.83163,1.27073,0.90302,0.00026,0.00026,0.00026
18,33.157,0.91686,1.57065,0.98505,0.74843,0.5702,0.61094,0.46883,0.83163,1.27073,0.90302,0.000198125,0.000198125,0.000198125
19,34.8299,0.95068,1.64788,0.99127,0.74843,0.5702,0.61094,0.46883,0.83163,1.27073,0.90302,0.00013625,0.00013625,0.00013625
20,36.6901,0.93362,1.60985,0.99746,0.65429,0.625,0.60452,0.48484,0.81037,1.17466,0.89968,7.4375e-05,7.4375e-05,7.4375e-05
