epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60901,1.70855,3.15215,1.62703,0.00453,0.88372,0.28048,0.10617,1.67677,3.06274,1.40898,0.00054,0.00054,0.00054
2,10.0747,1.77319,2.30823,1.43884,0.00488,0.95349,0.26327,0.09425,1.70878,2.94045,1.3575,0.00107822,0.00107822,0.00107822
3,13.5835,1.76933,2.11325,1.41982,1,0.13112,0.46982,0.24131,1.71139,2.7299,1.50405,0.00159426,0.00159426,0.00159426
4,17.0583,1.74865,2.13683,1.44165,0.9125,0.24304,0.50894,0.22269,1.92897,2.58965,1.64693,0.0018812,0.0018812,0.0018812
5,20.4767,1.75732,1.84752,1.46271,0.87522,0.46512,0.60457,0.30727,1.7778,1.92,1.52904,0.0018416,0.0018416,0.0018416
6,23.8277,1.74946,1.96909,1.4961,0.43641,0.62791,0.44936,0.19074,1.85583,1.95178,1.6402,0.001802,0.001802,0.001802
7,27.2586,1.73085,1.82131,1.50654,0.55403,0.67442,0.56851,0.28371,1.71291,1.7626,1.48626,0.0017624,0.0017624,0.0017624
8,30.6484,1.77127,1.91359,1.52126,0.54899,0.7361,0.4905,0.22707,1.9125,1.91848,1.66371,0.0017228,0.0017228,0.0017228
9,34.1502,1.58057,1.66727,1.38999,0.73684,0.72093,0.75407,0.36644,1.73073,1.5538,1.48768,0.0016832,0.0016832,0.0016832
10,37.562,1.63149,1.64803,1.42859,0.65732,0.62458,0.60717,0.31127,1.79823,1.70286,1.60739,0.0016436,0.0016436,0.0016436
11,40.9262,1.54354,1.53066,1.35292,0.59949,0.74419,0.63559,0.33212,1.86295,1.68426,1.6404,0.001604,0.001604,0.001604
12,44.4393,1.55214,1.47615,1.40014,0.76075,0.67442,0.66564,0.35714,1.65135,1.70385,1.54012,0.0015644,0.0015644,0.0015644
13,47.8899,1.5828,1.44867,1.37126,0.62602,0.74419,0.66853,0.3225,1.70168,1.6586,1.5804,0.0015248,0.0015248,0.0015248
14,51.3053,1.4837,1.39167,1.35909,0.93863,0.74419,0.81008,0.41578,1.66885,1.48467,1.52385,0.0014852,0.0014852,0.0014852
15,54.8928,1.44225,1.36572,1.33147,0.9135,0.73693,0.78943,0.42204,1.68152,1.34985,1.51843,0.0014456,0.0014456,0.0014456
16,58.6003,1.56624,1.39924,1.35964,0.89243,0.67442,0.79018,0.37742,1.82941,1.33624,1.52974,0.001406,0.001406,0.001406
17,62.1214,1.50732,1.34794,1.2904,0.82793,0.67146,0.74477,0.36849,1.87467,1.4302,1.54322,0.0013664,0.0013664,0.0013664
18,65.6252,1.41953,1.33093,1.29419,0.81006,0.72093,0.74611,0.38026,1.72889,1.41761,1.49032,0.0013268,0.0013268,0.0013268
19,69.008,1.48357,1.31079,1.30769,0.78202,0.75101,0.73797,0.38829,1.72933,1.31724,1.4698,0.0012872,0.0012872,0.0012872
20,72.4436,1.44667,1.2623,1.27497,0.84785,0.74419,0.75462,0.41337,1.6081,1.32032,1.44846,0.0012476,0.0012476,0.0012476
21,75.9108,1.43473,1.21548,1.30352,0.85536,0.76744,0.78374,0.42225,1.59703,1.37577,1.42892,0.001208,0.001208,0.001208
22,79.4069,1.37897,1.1589,1.24986,0.91987,0.62791,0.75428,0.40238,1.64216,1.31524,1.46992,0.0011684,0.0011684,0.0011684
23,82.8735,1.38915,1.10628,1.22307,0.80957,0.74419,0.77993,0.42662,1.6876,1.27624,1.46169,0.0011288,0.0011288,0.0011288
24,86.3769,1.3696,1.12828,1.27213,0.85869,0.7907,0.8029,0.43891,1.68936,1.21993,1.47315,0.0010892,0.0010892,0.0010892
25,89.8808,1.2581,1.05587,1.21909,0.8274,0.83721,0.81924,0.44421,1.62745,1.22345,1.40747,0.0010496,0.0010496,0.0010496
26,93.2603,1.28943,1.03705,1.19266,0.87029,0.76744,0.811,0.42992,1.66605,1.18178,1.41312,0.00101,0.00101,0.00101
27,96.6807,1.30924,1.0333,1.17923,0.8489,0.76744,0.81119,0.43809,1.67643,1.20693,1.415,0.0009704,0.0009704,0.0009704
28,100.132,1.28544,1.01583,1.21058,0.89477,0.79099,0.83529,0.42896,1.64465,1.1707,1.44178,0.0009308,0.0009308,0.0009308
29,103.643,1.30447,1.03663,1.21742,0.9211,0.83721,0.84413,0.42395,1.70507,1.17663,1.48762,0.0008912,0.0008912,0.0008912
30,107.03,1.41648,1.11051,1.31392,0.87108,0.78577,0.83538,0.42826,1.67232,1.14716,1.4609,0.0008516,0.0008516,0.0008516
31,110.483,1.25691,1.0019,1.19152,0.84416,0.74419,0.79822,0.43526,1.66264,1.18827,1.46133,0.000812,0.000812,0.000812
32,113.953,1.21732,1.05573,1.17901,0.84636,0.67442,0.75009,0.36769,1.72209,1.35358,1.51389,0.0007724,0.0007724,0.0007724
33,117.487,1.21572,0.97707,1.17772,0.7699,0.74419,0.7994,0.41265,1.63324,1.19584,1.4523,0.0007328,0.0007328,0.0007328
34,120.926,1.21378,0.93398,1.16626,0.89841,0.69767,0.81318,0.45555,1.65245,1.15995,1.45799,0.0006932,0.0006932,0.0006932
35,124.279,1.16571,0.89955,1.14946,0.82201,0.72093,0.78658,0.45095,1.63847,1.15357,1.43257,0.0006536,0.0006536,0.0006536
36,127.754,1.18699,0.90927,1.15285,0.85852,0.70573,0.80795,0.41582,1.72873,1.19464,1.48296,0.000614,0.000614,0.000614
37,131.178,1.29104,1.05428,1.28416,0.85589,0.69767,0.80292,0.40561,1.76044,1.25294,1.50119,0.0005744,0.0005744,0.0005744
38,134.484,1.22136,0.89882,1.16257,0.90327,0.74419,0.83079,0.43212,1.63222,1.11899,1.42651,0.0005348,0.0005348,0.0005348
39,137.945,1.13381,0.85503,1.11622,0.71337,0.88372,0.8186,0.4416,1.63424,1.1353,1.42581,0.0004952,0.0004952,0.0004952
40,141.297,1.19846,0.90316,1.18227,0.75431,0.85685,0.82642,0.44426,1.64547,1.13575,1.43491,0.0004556,0.0004556,0.0004556
41,171.811,1.18898,1.011,1.16899,0.7951,0.72194,0.82772,0.43254,1.6321,1.14131,1.44034,0.000416,0.000416,0.000416
42,175.26,1.15113,0.93869,1.15762,0.75868,0.76744,0.79619,0.4223,1.6431,1.22775,1.44939,0.0003764,0.0003764,0.0003764
43,178.679,1.11347,0.95575,1.13754,0.81451,0.71496,0.79488,0.42354,1.66267,1.26892,1.43759,0.0003368,0.0003368,0.0003368
44,182.05,1.10003,0.89732,1.08924,0.78166,0.69767,0.77581,0.41695,1.67346,1.32075,1.43622,0.0002972,0.0002972,0.0002972
45,185.494,1.05121,0.83309,1.06544,0.75251,0.74419,0.79406,0.44461,1.68928,1.27484,1.44074,0.0002576,0.0002576,0.0002576
46,188.92,1.05849,0.87297,1.09596,0.78925,0.78395,0.82005,0.46047,1.59039,1.18855,1.3786,0.000218,0.000218,0.000218
47,192.269,1.08012,0.80796,1.07375,0.77533,0.80267,0.83013,0.47419,1.56594,1.16626,1.36783,0.0001784,0.0001784,0.0001784
48,195.821,0.99756,0.78496,1.07157,0.79918,0.83303,0.83656,0.4737,1.56425,1.14746,1.38203,0.0001388,0.0001388,0.0001388
49,199.805,1.00635,0.79175,1.05106,0.77472,0.83721,0.83281,0.47023,1.59768,1.16423,1.40042,9.92e-05,9.92e-05,9.92e-05
50,203.999,1.01965,0.80702,1.06151,0.79988,0.83661,0.83081,0.45852,1.6058,1.16232,1.40223,5.96e-05,5.96e-05,5.96e-05
